external_id,name,date_of_birth,outcome_datetime,age_outcome_days,animal_type,outcome_type,outcome_subtype,sex,is_intact,breed,color
A712947,Grayson,2009-10-01,2015-09-30 15:14:00,2190.0,Dog,Owner Surrender,Normal,Female,False,Miniature Schnauzer Mix,Gray
A712949,,2014-09-30,2015-09-30 15:30:00,365.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Brown Tabby
A712950,*Cricket,2012-09-30,2015-09-30 15:42:00,1095.0,Dog,Stray,Normal,Female,True,Yorkshire Terrier Mix,Blue/Tan
A699979,Roxanne,2015-01-03,2015-09-30 15:47:00,270.0,Dog,Stray,Normal,Female,False,Beagle/German Shepherd,Sable/White
A712951,*Pontiac,2013-09-30,2015-09-30 15:54:00,730.0,Dog,Stray,Normal,Male,True,Queensland Heeler Mix,Black/Brown
A710427,*Cinderella,2015-03-04,2015-09-30 16:02:00,210.0,Cat,Stray,Normal,Female,False,Domestic Shorthair Mix,Orange Tabby/White
A712958,*Francois,2005-10-02,2015-09-30 16:23:00,3650.0,Cat,Stray,Other,Male,False,Domestic Shorthair Mix,Blue Tabby
A712959,Arby,2010-10-01,2015-09-30 16:28:00,1825.0,Dog,Owner Surrender,Normal,Female,True,Miniature Pinscher/Pomeranian,Red
A712963,Oscar,2014-09-30,2015-09-30 16:30:00,365.0,Cat,Stray,Normal,Male,False,Persian Mix,Buff
A712970,,2015-05-03,2015-09-30 17:42:00,150.0,Dog,Stray,Normal,Female,True,Chihuahua Shorthair Mix,Tricolor
A712971,,2012-09-30,2015-09-30 17:48:00,1095.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Torbie/White
A712972,Julie,2010-10-01,2015-09-30 17:53:00,1825.0,Dog,Stray,Normal,Female,False,Toy Poodle Mix,Cream
A692521,Coby,2014-09-30,2015-09-30 18:13:00,365.0,Dog,Stray,Normal,Male,True,Pit Bull Mix,Fawn/White
A541397,Chica,2003-10-04,2015-10-01 07:05:00,4380.0,Dog,Stray,Normal,Female,False,Chow Chow Mix,Red
A709678,Princess,2015-03-05,2015-10-01 09:11:00,210.0,Dog,Stray,Injured,Female,False,Australian Cattle Dog/Pembroke Welsh Corgi,Tan/White
A712989,,2015-05-04,2015-10-01 10:59:00,150.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Tortie
A712984,Sammy,2015-09-01,2015-10-01 11:03:00,30.0,Cat,Owner Surrender,Normal,Male,True,Domestic Shorthair Mix,Orange Tabby/White
A712985,Bernie,2015-09-01,2015-10-01 11:03:00,30.0,Cat,Owner Surrender,Normal,Male,True,Domestic Shorthair Mix,Orange Tabby
A712986,Bricklyn,2015-09-01,2015-10-01 11:03:00,30.0,Cat,Owner Surrender,Normal,Female,True,Domestic Shorthair Mix,Brown Tabby
A712987,Twiggy,2015-09-01,2015-10-01 11:03:00,30.0,Cat,Owner Surrender,Normal,Female,True,Domestic Shorthair Mix,Brown Tabby
A712988,Bella,2015-09-01,2015-10-01 11:03:00,30.0,Cat,Owner Surrender,Normal,Female,True,Domestic Shorthair Mix,Brown Tabby
A712990,*Hanna,2015-09-10,2015-10-01 11:23:00,21.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Silver Tabby/White
A712991,Shiloh,2014-10-01,2015-10-01 11:29:00,365.0,Dog,Stray,Normal,Female,True,Finnish Spitz/Labrador Retriever,Black
A712993,*Lotus,2014-10-01,2015-10-01 11:35:00,365.0,Dog,Stray,Normal,Female,True,Dachshund Mix,Black
A712994,Sweetie,2014-10-01,2015-10-01 11:50:00,365.0,Dog,Stray,Normal,Female,True,Chihuahua Longhair,Red/White
A696393,Princess,2005-10-03,2015-10-01 12:34:00,3650.0,Dog,Stray,Normal,Female,False,German Shepherd,Brown
A712996,,1993-10-06,2015-10-01 12:39:00,8030.0,Cat,Stray,Aged,Unknown,,Siamese Mix,Lilac Point
A712995,Sambo,2007-10-03,2015-10-01 12:45:00,2920.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Black
A712997,,2015-09-01,2015-10-01 12:54:00,30.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Blue Tabby
A712998,Doodle,2015-06-03,2015-10-01 12:58:00,120.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Brown Tabby
A710487,Bobbie,2015-07-03,2015-10-01 13:09:00,90.0,Dog,Owner Surrender,Normal,Female,True,Catahoula Mix,Sable
A681512,*Jasper,2013-10-01,2015-10-01 13:16:00,730.0,Dog,Stray,Normal,Male,False,Chihuahua Shorthair Mix,Tan
A713001,,2015-09-30,2015-10-01 13:38:00,1.0,Cat,Stray,Normal,Unknown,,Domestic Shorthair Mix,White/Black
